num_clients,avg_response_time

1,0.0014071800003875978
1,0.9507353625995165
2,1.2075996797997504
3,1.3627938596669993
4,1.7968767108000976
5,1.889571241960075
8,3.260256811550062
6,2.4542918602661907
7,2.9993866321995615
8,3.849325695650168
9,4.466358953000033
10,4.924035598919727
11,5.46843742452706
12,6.103630730283475
13,8.05908714736926
14,7.751195264043053
15,7.70950936033342
16,10.890007900899946
17,10.614619594588465
18,9.589396074244561
19,10.68110449085258
20,13.687951567520066
